Order_ID,Region,Product,Demand,Inventory,Lead_Time,Transport_Cost,Warehouse_Capacity,Warehouse_Utilization,On_Time_Delivery
1,West,Electronics,122,332,5,1916,798,63,1
2,North,Apparel,110,518,7,3603,983,49,1
3,South,Apparel,220,441,12,3828,1220,77,0
4,East,Grocery,159,509,6,360,808,66,1
5,West,Grocery,59,364,4,211,1967,91,1
6,West,Apparel,164,372,14,395,1819,80,0
7,West,Electronics,304,371,4,2078,1819,67,1
8,West,Apparel,243,133,14,3629,1914,88,0
9,North,Electronics,52,74,8,360,1094,92,0
10,South,Apparel,498,505,12,1987,1566,73,0
11,East,Electronics,258,105,14,4532,968,70,0
12,West,Apparel,399,294,12,1044,519,52,0
13,North,Grocery,231,303,13,4747,598,46,0
14,South,Electronics,147,275,7,4706,700,81,1
15,East,Electronics,298,346,10,2699,1881,94,1
16,East,Electronics,341,342,13,767,508,43,0
17,East,Grocery,458,66,6,4066,1134,95,1
18,North,Electronics,316,519,7,2359,657,55,0
19,West,Electronics,172,121,10,1955,636,52,1
20,East,Grocery,253,327,7,3764,523,70,0
21,North,Grocery,388,323,4,2986,1163,43,1
22,North,Grocery,425,44,3,3509,1286,88,0
23,West,Apparel,436,389,6,4200,880,77,1
24,West,Apparel,356,56,1,2211,1112,59,1
25,North,Apparel,432,330,11,2457,1536,72,0
26,North,Electronics,60,306,13,1383,866,79,0
27,West,Apparel,264,219,12,363,1320,68,0
28,West,Grocery,347,448,3,3243,1381,66,1
29,East,Apparel,67,49,8,1952,1689,95,1
30,East,Electronics,119,574,6,1827,1748,59,1
31,West,Grocery,350,233,9,1788,1911,53,1
32,North,Apparel,442,364,9,3739,1250,44,0
33,North,Apparel,109,368,8,3536,1243,63,1
34,West,Apparel,122,367,14,2014,1893,56,0
35,South,Grocery,309,463,4,4293,1566,43,1
36,North,Grocery,185,283,4,3503,1687,47,1
37,North,Electronics,184,351,10,1095,1642,49,1
38,West,Apparel,220,261,14,3725,1799,69,0
39,South,Grocery,267,478,2,432,774,62,0
40,North,Grocery,345,186,3,2221,1627,55,1
41,West,Electronics,245,420,12,4701,924,54,0
42,South,Grocery,489,174,4,3788,1420,51,0
43,North,Grocery,156,463,14,1588,1981,88,0
44,East,Apparel,266,469,11,984,1993,95,0
45,North,Apparel,52,277,6,2997,639,83,1
46,South,Apparel,275,251,4,659,881,58,1
47,East,Electronics,319,338,1,729,1831,53,0
48,East,Apparel,148,409,3,4318,1817,97,1
49,North,Grocery,489,509,9,1247,1062,69,1
50,East,Apparel,293,202,4,3864,1111,88,1
51,South,Grocery,301,196,1,1676,1378,55,0
52,West,Electronics,285,353,11,3257,944,60,0
